title,image,link,date,language,source
Guerre en Ukraine : le point sur la journée du 31 mai 2022,,https://fr.euronews.com//2022/05/31/direct-guerre-en-ukraine-les-derniers-developpements,09/06/2022,fr,euronews
"Business Céréales bloquées en Ukraine : Kyiv veut exclure la Russie de la FAO Le président ukrainien, Volodymyr Zelensky, réclame l'exclusion de la Russie de l'Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO). Détresse alimentaire : 193 millions de personnes concernées dans le monde selon la FAO Des jeunes mobilisés pour l'agriculture durable Faim dans le monde : la pandémie aggrave l'insécurité alimentaire",,https://fr.euronews.com//2022/06/09/cereales-bloquees-en-ukraine-kiev-demande-l-exclusion-de-la-russie-de-la-fao,09/06/2022,fr,euronews
monde Zone euro : la BCE confirme la prochaine hausse de ses taux,,https://fr.euronews.com//2022/06/09/zone-euro-la-bce-releve-ses-previsions-d-inflation-a-3-5-en-2023-et-2-1-en-2024,09/06/2022,fr,euronews
France Élections législatives en France : Emmanuel Macron en quête de majorité,,https://fr.euronews.com//2022/06/09/elections-legislatives-en-france-emmanuel-macron-en-quete-de-majorite,09/06/2022,fr,euronews
"monde Au lendemain du drame à Berlin, le conducteur de la voiture bélier interné en psychiatrie",,https://fr.euronews.com//2022/06/09/au-lendemain-du-drame-a-berlin-le-conducteur-de-la-voiture-belier-interne-en-psychiatrie,09/06/2022,fr,euronews
"France Chaos au Stade de France : auditions au Sénat, versions divergentes",,https://fr.euronews.com//2022/06/09/chaos-au-stade-de-france-la-prefecture-de-police-de-paris-reconnait-un-echec,09/06/2022,fr,euronews
Europe News La guerre en Ukraine et ses menaces alimentaires à l'échelle mondiale,https://static.euronews.com/articles/stories/06/76/57/92/210x118_cmsv2_b903e7e8-42de-5a53-8685-b56fceb23a2c-6765792.jpg,https://fr.euronews.com//my-europe/2022/06/09/la-guerre-en-ukraine-et-ses-menaces-alimentaires-a-l-echelle-mondiale,09/06/2022,fr,euronews
France La dépouille du journaliste français tué en Ukraine rapatriée à Paris,https://static.euronews.com/articles/stories/06/76/50/34/210x118_cmsv2_20808cc0-46e8-5587-b9e3-c7dd3f3bd8ca-6765034.jpg,https://fr.euronews.com//2022/06/09/la-depouille-du-journaliste-francais-tue-en-ukraine-rapatriee-a-paris,09/06/2022,fr,euronews
"Ukraine Guerre en Ukraine : ""le sort"" du Donbass se joue à Severodonetsk selon Zelensky",https://static.euronews.com/articles/stories/06/76/38/94/210x118_cmsv2_2642d8c5-d79a-5eff-81aa-87af477bd339-6763894.jpg,https://fr.euronews.com//2022/06/09/guerre-en-ukraine-le-sort-du-donbass-se-joue-a-severodonetsk-selon-zelensky,09/06/2022,fr,euronews
real economy L'UE anticipe une croissance plus faible sur fond d'inflation,https://static.euronews.com/articles/stories/06/71/75/68/210x118_cmsv2_67273437-67db-555d-989b-e98763f7e342-6717568.jpg,https://fr.euronews.com//next/2022/06/08/l-ue-anticipe-une-croissance-plus-faible-sur-fond-d-inflation-liee-a-la-guerre-en-ukraine,09/06/2022,fr,euronews
Séries La culture de la moto monte en puissance à Dubaï,https://static.euronews.com/articles/stories/06/69/44/22/210x118_cmsv2_a2fec100-54e6-5c4c-aed0-f67db4b364f5-6694422.jpg,https://fr.euronews.com//voyages/2022/06/07/la-culture-de-la-moto-monte-en-puissance-a-dubai,09/06/2022,fr,euronews
Cult InClassica 2022 : le festival international de musique touche à sa fin,https://static.euronews.com/articles/stories/06/74/54/86/210x118_cmsv2_4192d83c-fbc8-5ed3-bcc4-9a57777d7b1c-6745486.jpg,https://fr.euronews.com//culture/2022/06/06/inclassica-2022-le-11eme-festival-international-de-musique-classique-touche-a-sa-fin,09/06/2022,fr,euronews
"Iran L'Iran éteint 27 caméras de surveillance dans ses sites nucléaires, en signe de protestation",https://static.euronews.com/articles/stories/06/76/58/66/400x225_cmsv2_17b1e5f6-f6e3-5536-bca3-8f47074efb4f-6765866.jpg,https://fr.euronews.com//2022/06/09/l-iran-eteint-27-cameras-de-surveillance-dans-ses-sites-nucleaires-en-signe-de-protestatio,09/06/2022,fr,euronews
monde Balkans : Un sommet à trois pour favoriser l'intégration dans l'UE,https://static.euronews.com/articles/stories/06/76/50/16/400x225_cmsv2_85e04a7b-3e41-5a19-8ee0-6045bda6f356-6765016.jpg,https://fr.euronews.com//2022/06/09/balkans-un-sommet-a-trois-pour-favoriser-leur-integration-dans-l-ue,09/06/2022,fr,euronews
Brésil Journaliste britannique disparu au Brésil: un suspect arrêté,https://static.euronews.com/articles/stories/06/76/50/28/400x225_cmsv2_cf825462-cf5b-5af5-a7fe-20a98d39840a-6765028.jpg,https://fr.euronews.com//2022/06/09/au-bresil-les-recherches-se-poursuivent-pour-retrouver-le-journaliste-britannique,09/06/2022,fr,euronews
monde L'Algérie rompt son accord d'amitié avec l'Espagne,https://static.euronews.com/articles/stories/06/76/49/30/400x225_cmsv2_e3e42b1d-97dc-5591-8505-f3cb8b85b9b9-6764930.jpg,https://fr.euronews.com//2022/06/09/l-algerie-rompt-son-accord-d-amitie-avec-l-espagne-a-cause-d-un-desaccord-sur-le-sahara,09/06/2022,fr,euronews
France Grève et vols annulés à l'aéroport de Paris-Charles de Gaulle,https://static.euronews.com/articles/stories/06/76/54/86/400x225_cmsv2_403f9574-92d3-5ed2-8e5d-08faacd6944b-6765486.jpg,https://fr.euronews.com//2022/06/09/greve-et-vols-annules-a-l-aeroport-de-paris-charles-de-gaulle,09/06/2022,fr,euronews
Nature Préserver la montagne face à la fréquentation touristique,https://static.euronews.com/articles/stories/06/70/88/84/400x225_cmsv2_975a59e2-91bf-532c-90f4-415aad967a1a-6708884.jpg,https://fr.euronews.com//green/2022/06/09/preserver-la-montagne-face-a-la-frequentation-touristique,09/06/2022,fr,euronews
"Cult 50 ans après, la photo de la petite fille brûlée au napalm au Vietnam est toujours aussi forte",https://static.euronews.com/articles/stories/06/76/27/66/400x225_cmsv2_5b744057-25c1-53c4-a4bc-d3313d189756-6762766.jpg,https://fr.euronews.com//culture/2022/06/08/50-ans-apres-la-photo-de-la-petite-fille-brulee-au-napalm-au-vietnam-est-toujours-aussi-fo,09/06/2022,fr,euronews
France Législatives en France : comment ça marche ?,https://static.euronews.com/articles/stories/06/76/11/02/400x225_cmsv2_f4ec7375-801f-5382-8829-d2b5e795f10c-6761102.jpg,https://fr.euronews.com//2022/06/08/legislatives-en-france-comment-ca-marche,09/06/2022,fr,euronews
no comment Les derviches tourneurs égyptiens illuminent les nuits du Caire,https://static.euronews.com/articles/stories/06/76/53/70/400x225_cmsv2_7dd909a7-a014-5b38-902f-1fcb5af56853-6765370.jpg,https://fr.euronews.com//video/2022/06/09/les-derviches-tourneurs-egyptiens-illuminent-les-nuits-du-caire,09/06/2022,fr,euronews
"no comment En graffitis, l'histoire et la culture du Bénin sur plus d'un kilomètre de long à Cotonou",https://static.euronews.com/articles/stories/06/76/59/52/400x225_cmsv2_f3371b7b-18fd-5389-a17d-835da6f1a9b5-6765952.jpg,https://fr.euronews.com//video/2022/06/09/en-graffitis-l-histoire-et-la-culture-du-benin-sur-plus-d-un-kilometre-de-long-a-cotonou,09/06/2022,fr,euronews
"France Le Saint Jérome de Léonard de Vinci, tableau inachevé qui porte l'empreinte du maître, en France",https://static.euronews.com/articles/stories/06/76/30/58/400x225_cmsv2_028e1201-a677-5fe8-9268-f898cfd6eb68-6763058.jpg,https://fr.euronews.com//2022/06/08/le-saint-jerome-de-leonard-de-vinci-tableau-inacheve-qui-porte-l-empreinte-du-maitre-en-fr,09/06/2022,fr,euronews
France Les grandes dates de la présidence française du Conseil de l'UE,https://static.euronews.com/articles/stories/06/28/63/40/400x225_cmsv2_35cf13d6-7645-52a3-bd98-12ff70fdedc1-6286340.jpg,https://fr.euronews.com//2022/01/13/les-grandes-dates-de-la-presidence-francaise-du-conseil-de-l-union-europeenne,09/06/2022,fr,euronews
monde Une entreprise qui fait le choix de supprimer les horaires de bureau,https://static.euronews.com/articles/stories/06/76/19/08/400x225_cmsv2_9abd6f63-cb41-56ef-a15c-9d64963a58ae-6761908.jpg,https://fr.euronews.com//2022/06/08/dans-cette-entreprise-les-employes-peuvent-arriver-tard-partir-tot-ou-tout-simplement-ne-p,09/06/2022,fr,euronews
"Top News Stories Today L’info du jour | 9 juin - Mi-journée Suivez les derniers développements de l'actualité en Europe et dans le monde. Retrouvez les dernières infos sur la politique, l'économie, la culture et le divertissement.",https://static.euronews.com/articles/stories/06/76/56/54/210x118_screenshot_1200_15_6765654.jpg,https://fr.euronews.com//video/2022/06/09/linfo-du-jour-9-juin-mi-journee,09/06/2022,fr,euronews
"A Singapour, un festival pour mettre en lumière le développement durable",https://static.euronews.com/articles/stories/06/76/54/20/400x225_cmsv2_5215ea89-88d3-56b7-9d64-960089eb6238-6765420.jpg,https://fr.euronews.com//video/2022/06/09/a-singapour-un-festival-pour-mettre-en-lumiere-le-developpement-durable,09/06/2022,fr,euronews
"Les travailleurs russes nettoient la ville de Marioupol, dévastée par les bombardements russes",https://static.euronews.com/articles/stories/06/74/24/10/400x225_cmsv2_84ea00a6-e5c5-54c4-ae06-fe70f8a84733-6742410.jpg,https://fr.euronews.com//video/2022/06/09/les-travailleurs-russes-nettoient-la-ville-de-marioupol-devastee-par-les-bombardements-rus,09/06/2022,fr,euronews
La centrale de Tricastin dans le viseur de la justice : des incidents ont-ils été dissimulés?,https://static.euronews.com/articles/stories/06/76/54/16/400x225_cmsv2_148b7f13-6944-5d9d-88d1-8398b3787c7c-6765416.jpg,https://fr.euronews.com//video/2022/06/09/la-centrale-de-tricastin-dans-le-viseur-de-la-justice-des-incidents-ont-ils-ete-dissimules,09/06/2022,fr,euronews
Journée mondiale de l'océan au Brésil : une chaîne humaine géante pour protéger la planète,https://static.euronews.com/articles/stories/06/76/55/76/400x225_cmsv2_9e010edf-9007-5f9a-9b94-e2411b48910b-6765576.jpg,https://fr.euronews.com//video/2022/06/09/journee-mondiale-de-l-ocean-au-bresil-une-chaine-humaine-geante-pour-proteger-la-planete,09/06/2022,fr,euronews
Démocratie et immigration au menu du Sommet des Amériques,https://static.euronews.com/articles/stories/06/76/41/22/400x225_cmsv2_1ff29940-664f-5ec4-b54c-d6d455f4e25e-6764122.jpg,https://fr.euronews.com//video/2022/06/09/democratie-et-immigration-au-menu-du-sommet-des-ameriques,09/06/2022,fr,euronews
Nouveaux pirates Vs superyachts et cybersécurité,https://static.euronews.com/articles/stories/06/58/91/34/400x225_cmsv2_20df96e7-4d9f-5c4e-b5cc-265f2b9f343e-6589134.jpg,https://fr.euronews.com//video/2022/04/11/nouveaux-pirates-vs-superyachts-et-cybersecurite,09/06/2022,fr,euronews
Dubaï est aux petits soins pour les animaux de compagnie,https://static.euronews.com/articles/stories/06/48/87/30/400x225_cmsv2_d79d1590-184c-57ad-96cb-069cbd224dc5-6488730.jpg,https://fr.euronews.com//video/2022/02/25/dubai-est-aux-petits-soins-pour-les-animaux-de-compagnie,09/06/2022,fr,euronews
"Ludovic Tezier illumine « Simon Boccanegra », l’œuvre sombre de Giuseppe Verdi",https://static.euronews.com/articles/stories/06/28/48/86/400x225_cmsv2_b5690cd8-a8c6-55ab-aae2-5213e4245406-6284886.jpg,https://fr.euronews.com//video/2021/12/23/ludovic-tezier-illumine-simon-boccanegra-l-uvre-sombre-de-giuseppe-verdi,09/06/2022,fr,euronews
Europe News L'Office européen de lutte antifraude présente son bilan annuel,https://static.euronews.com/articles/stories/06/76/25/98/400x225_cmsv2_25287449-8891-509c-bc57-f4792136ba41-6762598.jpg,https://fr.euronews.com//my-europe/2022/06/08/l-office-europeen-de-lutte-antifraude-presente-son-bilan-annuel,09/06/2022,fr,euronews
monde Ukraine : Guterres tire la sonnette d'alarme sur la crise alimentaire,https://static.euronews.com/articles/stories/06/76/39/64/400x225_cmsv2_59e4ae98-67f5-54b7-aed2-306f4baa75e9-6763964.jpg,https://fr.euronews.com//2022/06/09/l-onu-la-guerre-menace-de-declencher-une-vague-sans-precedent-de-faim-et-de-misere,09/06/2022,fr,euronews
Business Le jazzman Gregory Hutchinson sur les traces de ses ancêtres en Angola,https://static.euronews.com/articles/stories/06/73/75/20/400x225_cmsv2_6e432d10-469d-56cb-9389-90822c034333-6737520.jpg,https://fr.euronews.com//2022/06/03/le-jazzman-americain-gregory-hutchinson-sur-les-traces-de-ses-ancetres-en-angola,09/06/2022,fr,euronews
Sport Procès de Sepp Blatter et Michel Platini : l'audition suspendue pour raisons de santé,https://static.euronews.com/articles/stories/06/76/31/54/400x225_cmsv2_4a57eaf0-5ca6-5bad-9532-103525050780-6763154.jpg,https://fr.euronews.com//2022/06/08/proces-de-sepp-blatter-et-michel-platini-l-audition-suspendue-pour-raisons-de-sante,09/06/2022,fr,euronews
"Ludovic Tezier illumine « Simon Boccanegra », l’œuvre sombre de Giuseppe Verdi",https://static.euronews.com/articles/stories/06/28/48/86/400x225_cmsv2_b5690cd8-a8c6-55ab-aae2-5213e4245406-6284886.jpg,https://fr.euronews.com//culture/2021/12/23/ludovic-tezier-illumine-simon-boccanegra-l-uvre-sombre-de-giuseppe-verdi,09/06/2022,fr,euronews
Santé Quels pays utilisent les vaccins contre la variole du singe ?,https://static.euronews.com/articles/stories/06/74/31/96/400x225_cmsv2_e6a2614d-fddd-52a4-ac19-756720355e16-6743196.jpg,https://fr.euronews.com//next/2022/06/08/variole-du-singe-existe-t-il-un-vaccin,09/06/2022,fr,euronews
"Nature La ""licorne asiatique"", espèce la plus en danger au monde",https://static.euronews.com/articles/stories/06/71/33/88/400x225_cmsv2_f18354d5-536e-5d8a-bcdd-a3ee2b5d9dce-6713388.jpg,https://fr.euronews.com//green/2022/06/03/quelles-sont-les-10-especes-animales-au-bord-de-l-extinction-en-2022,09/06/2022,fr,euronews
Actualité des voyages Exclusif : Venise retarde sa taxe contre le surtourisme,https://static.euronews.com/articles/stories/06/73/70/56/400x225_cmsv2_3b5067f8-4f13-56a9-a8da-01d8dacd95fe-6737056.jpg,https://fr.euronews.com//voyages/2022/05/27/venise-l-entree-en-vigueur-de-la-taxe-contre-le-surtourisme-repoussee-a-2023,09/06/2022,fr,euronews
Cult Rendez-vous : le meilleur de la culture en Europe,https://static.euronews.com/articles/stories/06/74/64/96/400x225_cmsv2_102d3ed4-af2f-5256-8f54-7c8b4effdce4-6746496.jpg,https://fr.euronews.com//culture/2022/06/02/rendez-vous-le-meilleur-de-la-culture-en-europe,09/06/2022,fr,euronews
"Ukraine war live: 'Impossible' to evacuate civilians, says Sievierodonetsk mayor",,https://www.euronews.com//2022/06/09/ukraine-war-live-world-is-supposed-to-weaken-russia-says-zelenskyy,09/06/2022,en,euronews
"Russia Britons sentenced to death for fighting with Ukraine's army Two British men and one Moroccan were found guilty of mercenary activities and terrorism. Lavrov to Ukraine: De-mine your ports and we'll let grain exports out 'No one will give up Sievierodonetsk,' says governor of Luhansk region Ukrainian forces 'holding on' in Sievierodonetsk, says Zelenskyy",,https://www.euronews.com//2022/06/09/britons-sentenced-to-death-for-fighting-with-ukraine-s-army,09/06/2022,en,euronews
Europe News Eurozone to get its first interest rate hike in 11 years next month,,https://www.euronews.com//my-europe/2022/06/09/eurozone-to-get-its-first-interest-rate-hike-in-11-years-next-month,09/06/2022,en,euronews
"Ukraine A decade on, Ukraine's Euro 2012 memories are scarred by war",,https://www.euronews.com//2022/06/09/a-decade-on-ukraine-s-euro-2012-memories-are-scarred-by-war,09/06/2022,en,euronews
Nature Why we need to save ugly fish from extinction,,https://www.euronews.com//green/2022/06/09/ugliest-fish-in-the-world-here-s-why-saving-odd-looking-species-from-extinction-is-crucial,09/06/2022,en,euronews
real economy How the war in Ukraine is hitting Europe's economy,https://static.euronews.com/articles/stories/06/71/75/68/210x118_cmsv2_67273437-67db-555d-989b-e98763f7e342-6717568.jpg,https://www.euronews.com//next/2022/06/08/why-war-in-ukraine-is-hitting-europe-s-economy-so-hard,09/06/2022,en,euronews
Series Two wheels better than four: Dubai's growing passion for motorbikes,https://static.euronews.com/articles/stories/06/69/44/22/210x118_cmsv2_a2fec100-54e6-5c4c-aed0-f67db4b364f5-6694422.jpg,https://www.euronews.com//travel/2022/06/07/two-wheels-better-than-four-dubai-s-growing-passion-for-the-world-of-motorbikes,09/06/2022,en,euronews
Cult 2022 InClassica International Music Festival draws to a close in Dubai,https://static.euronews.com/articles/stories/06/74/54/86/210x118_cmsv2_4192d83c-fbc8-5ed3-bcc4-9a57777d7b1c-6745486.jpg,https://www.euronews.com//culture/2022/06/06/2022-inclassica-international-music-festival-draws-to-a-close-in-dubai,09/06/2022,en,euronews
Germany Investigators question 'mentally ill' driver after Berlin car rampage,https://static.euronews.com/articles/stories/06/76/54/50/400x225_cmsv2_9b0700be-8b57-5a40-9e19-7e3445404c60-6765450.jpg,https://www.euronews.com//2022/06/09/teacher-killed-and-14-of-her-students-injured-in-berlin-crash,09/06/2022,en,euronews
Eco-Innovation World’s largest vertical farm could help the UK cut food miles,https://static.euronews.com/articles/stories/06/76/62/70/400x225_cmsv2_7ff7ddee-9429-5c1b-a93d-f20ddf422131-6766270.jpg,https://www.euronews.com//green/2022/06/09/world-s-largest-vertical-farm-is-being-built-in-the-uk-and-it-s-the-size-of-96-tennis-cour,09/06/2022,en,euronews
Portugal Nearly all of Portugal in 'severe' drought after hottest May on record,https://static.euronews.com/articles/stories/06/76/62/68/400x225_cmsv2_b32914aa-b026-5f60-ab73-b9891d6f0ead-6766268.jpg,https://www.euronews.com//2022/06/09/nearly-all-of-portugal-in-severe-drought-after-hottest-may-on-record,09/06/2022,en,euronews
Destinations The cleanest place to swim in Europe may surprise you,https://static.euronews.com/articles/stories/06/76/32/96/400x225_cmsv2_30b9a1bd-f3fa-5743-ad42-1a534c8ba90d-6763296.jpg,https://www.euronews.com//travel/2022/06/09/austria-voted-the-cleanest-place-to-swim-in-europe-here-are-5-wild-spots-to-take-a-dip,09/06/2022,en,euronews
Uncovering Europe Meet the anarchists and anti-fascists fighting Russia in Ukraine,https://static.euronews.com/articles/stories/06/76/01/40/400x225_cmsv2_88dadb5f-2567-558a-9a2e-5cd25de7f387-6760140.jpg,https://www.euronews.com//my-europe/2022/06/09/meet-the-motley-crew-of-anarchists-and-anti-fascists-fighting-russia-in-ukraine,09/06/2022,en,euronews
Work Is the party over for fast grocery delivery apps?,https://static.euronews.com/articles/stories/06/74/23/08/400x225_cmsv2_e989aaf4-e7f8-5fe5-8011-85baf01ab455-6742308.jpg,https://www.euronews.com//next/2022/06/09/gorillas-getir-zapp-fast-grocery-delivery-apps-slash-jobs-after-covid-lockdown-boom,09/06/2022,en,euronews
France Champions League final policing was 'obviously a failure',https://static.euronews.com/articles/stories/06/76/54/48/400x225_cmsv2_5e858bf6-9567-52de-8d5a-6f6b62bedef0-6765448.jpg,https://www.euronews.com//2022/06/09/champions-league-final-policing-was-a-failure-admits-paris-police-chief,09/06/2022,en,euronews
Europe News UK nationals living in EU can't vote or stand in local elections: ECJ,https://static.euronews.com/articles/stories/06/76/52/94/400x225_cmsv2_052e528f-f4a3-57bf-b949-bb44b5d504e5-6765294.jpg,https://www.euronews.com//my-europe/2022/06/09/uk-nationals-residing-in-eu-can-t-vote-or-stand-in-local-elections-says-top-court,09/06/2022,en,euronews
Uncovering Europe Why is Poland's housing market under unprecedented pressure?,https://static.euronews.com/articles/stories/06/76/04/84/210x118_cmsv2_555c47c6-6c4c-554c-8a09-5b79d24da59c-6760484.jpg,https://www.euronews.com//my-europe/2022/06/07/refugees-rates-and-record-inflation-how-poland-s-housing-market-is-under-unprecedented-pre,09/06/2022,en,euronews
Uncovering Europe Swedish hospitality thrown into the spotlight after tweet goes viral,https://static.euronews.com/articles/stories/06/75/82/52/210x118_cmsv2_51cfd568-278b-54d4-a2d6-29d7b1ea5de8-6758252.jpg,https://www.euronews.com//my-europe/2022/06/06/how-a-nondescript-tweet-sparked-a-huge-debate-on-swedish-hospitality,09/06/2022,en,euronews
Uncovering Europe Slovakia makes slow progress in tackling corruption,https://static.euronews.com/articles/stories/06/74/99/86/210x118_cmsv2_f43aa83f-433a-5b2b-a5c8-aa2bd6482e1d-6749986.jpg,https://www.euronews.com//my-europe/2022/06/02/slovakia-makes-slow-progress-in-tackling-corruption,09/06/2022,en,euronews
Health This experimental drug trial saw cancer vanish in every patient,https://static.euronews.com/articles/stories/06/76/04/30/400x225_cmsv2_7d5ebdda-6c77-52a6-9ef7-d2a29016b746-6760430.jpg,https://www.euronews.com//next/2022/06/07/this-breakthrough-drug-trial-saw-cancer-vanish-in-every-patient,09/06/2022,en,euronews
Ukraine The inspiring and moving stories to come out of the Ukraine war,https://static.euronews.com/articles/stories/06/74/66/56/400x225_cmsv2_210a959e-4dbe-5843-80a9-929df41c9c97-6746656.jpg,https://www.euronews.com//2022/06/07/over-100-days-of-war-the-stories-from-ukraine-that-have-moved-and-inspired-the-world,09/06/2022,en,euronews
Ukraine Azov photographer publishes his work just before being taken prisoner,https://static.euronews.com/articles/stories/06/71/31/98/400x225_cmsv2_a01dc125-4e7e-50d0-a268-f78ab9af1366-6713198.jpg,https://www.euronews.com//2022/05/20/azov-photographer-publishes-his-work-just-before-being-taken-prisoner,09/06/2022,en,euronews
Lithuania Lithuanians collect €5 million to buy a Bayraktar drone for Ukraine,https://static.euronews.com/articles/stories/06/73/86/18/400x225_cmsv2_aa60d4d8-f0e6-59ec-9245-4530bccce584-6738618.jpg,https://www.euronews.com//2022/05/28/lithuanians-organise-donation-drive-to-buy-bayraktar-drone-for-ukraine,09/06/2022,en,euronews
The Cube Misleading posts claim the Queen's Jubilee cost taxpayers £1 billion,https://static.euronews.com/articles/stories/06/75/05/50/400x225_cmsv2_f0c018a9-e1ae-5fff-9364-0209b0e1e029-6750550.jpg,https://www.euronews.com//my-europe/2022/06/02/misleading-posts-claim-the-queen-s-platinum-jubilee-cost-taxpayers-1-billion,09/06/2022,en,euronews
Biztech news Scientists test 'living skin' on robot that can heal when cut,https://static.euronews.com/articles/stories/06/76/61/38/400x225_cmsv2_1d5f8957-bf1f-5261-b63d-bc9541719c35-6766138.jpg,https://www.euronews.com//next/2022/06/09/scientists-put-living-skin-on-robotic-finger-that-can-heal-when-cut-and-has-wrinkles-too,09/06/2022,en,euronews
Biztech news A ‘CO2 battery’ could help store solar and wind energy. Here’s how,https://static.euronews.com/articles/stories/06/76/26/84/400x225_cmsv2_ece64364-3944-54cc-b4fc-8ea2e0631404-6762684.jpg,https://www.euronews.com//next/2022/06/08/energy-dome-this-new-battery-uses-co-to-store-wind-and-solar-power,09/06/2022,en,euronews
Work This is how much you could earn in your job if you moved abroad,https://static.euronews.com/articles/stories/06/75/44/68/400x225_cmsv2_d646923c-978f-5c5e-bef1-21f35092d7ba-6754468.jpg,https://www.euronews.com//next/2022/06/04/want-to-live-abroad-as-a-digital-nomad-this-how-much-you-could-earn-in-your-job-in-38-coun,09/06/2022,en,euronews
"View Letter from Indonesia: The EU and Southeast Asian nations are stronger together | View Airlangga Hartarto, co-ordinating minister of economic affairs of the Republic of Indonesia, tells us why he believes the EU should forge stronger economic bonds with his country and its neighbours.",https://static.euronews.com/articles/stories/06/75/07/16/400x225_cmsv2_99bf98cf-3dcf-574e-bd43-b9a1a7ae74cc-6750716.jpg,https://www.euronews.com//2022/06/02/letter-from-indonesia-the-eu-and-southeast-asian-nations-are-stronger-together,09/06/2022,en,euronews
"View Don't let Ukraine war eclipse other humanitarian crises | View Wealthy countries in Europe are using Ukrainian refugees as a pretext to cut their aid budgets just when they're needed most, warns Jan Egeland of the Norwegian Refugee Council.",https://static.euronews.com/articles/stories/06/74/17/86/400x225_cmsv2_1923f1a1-0122-5056-8a03-0655d0f872a1-6741786.jpg,https://www.euronews.com//2022/06/01/don-t-let-ukraine-war-eclipse-other-humanitarian-crises-l-view,09/06/2022,en,euronews
"View Biden foresaw Russia's invasion of Ukraine. So did Syrians | View ""Russian forces entered Syria on 30 September 2015. I have not lost memory of the harrowing events. I knew Putin would invade Ukraine.""",https://static.euronews.com/articles/stories/06/68/90/16/400x225_cmsv2_efa07cf1-54f8-5b4d-9ca4-86f141e6682a-6689016.jpg,https://www.euronews.com//2022/05/09/biden-foresaw-russia-s-invasion-of-ukraine-so-did-syrians-view,09/06/2022,en,euronews
"View 'Ukraine-washing', a new gambit for embattled European politicians From the UK to Romania, leaders have used the Ukraine conflict to shore up their support at home.",https://static.euronews.com/articles/stories/06/68/35/90/400x225_cmsv2_fd788ba7-9bdb-5476-ad20-a977dc284a6f-6683590.jpg,https://www.euronews.com//2022/05/05/how-ukraine-washing-became-the-new-gambit-for-embattled-european-politicians,09/06/2022,en,euronews
Twitter plans shareholder vote on Elon Musk sale,https://static.euronews.com/articles/stories/06/76/58/30/210x118_cmsv2_6d597990-e2ba-566a-809e-87ef4b687c8d-6765830.jpg,https://www.euronews.com//next/2022/06/09/twitter-plans-to-have-shareholder-vote-on-elon-musk-buyout-by-august,09/06/2022,en,euronews
PayPal has a new crypto transfer tool,https://static.euronews.com/articles/stories/06/76/59/32/210x118_cmsv2_28111c34-66c7-5217-acb2-a47714e1c16c-6765932.jpg,https://www.euronews.com//next/2022/06/09/paypal-adds-new-crypto-tool-allowing-some-users-to-move-assets-like-bitcoin-to-external-wa,09/06/2022,en,euronews
EU lawmakers back ban on new combustion engine cars from 2035,https://static.euronews.com/articles/stories/06/76/55/50/210x118_cmsv2_96c191de-26cf-5cee-a207-aade91676f45-6765550.jpg,https://www.euronews.com//next/2022/06/09/eu-parliament-backs-ban-on-new-petrol-and-diesel-combustion-engine-cars-from-2035,09/06/2022,en,euronews
Proving Elon Musk wrong? This Italian company has no set office hours,https://static.euronews.com/articles/stories/06/76/25/04/210x118_cmsv2_aa029974-214a-571b-a89a-5c40d6891531-6762504.jpg,https://www.euronews.com//next/2022/06/08/proving-elon-musk-wrong-this-italian-marketing-company-has-no-set-office-hours,09/06/2022,en,euronews
"Top News Stories Today Latest news bulletin | June 9th – Evening Catch up with the most important stories from around Europe and beyond - latest news, breaking news, World, Business, Entertainment, Politics, Culture, Travel.",https://static.euronews.com/articles/stories/06/76/62/90/210x118_screenshot_1200_15_6766290.jpg,https://www.euronews.com//video/2022/06/09/latest-news-bulletin-june-9th-evening,09/06/2022,en,euronews
Why are footballers playing for longer?,https://static.euronews.com/articles/stories/06/75/31/16/400x225_cmsv2_7ed2eefd-f155-5384-84aa-7609ed80c6b5-6753116.jpg,https://www.euronews.com//video/2022/06/09/why-are-footballers-playing-for-longer,09/06/2022,en,euronews
The war in Ukraine already has its own museum exhibition,https://static.euronews.com/articles/stories/06/76/61/58/400x225_cmsv2_2bcb62c9-b44e-56be-8141-9f743f350df1-6766158.jpg,https://www.euronews.com//video/2022/06/09/the-war-in-ukraine-already-has-its-own-museum-exhibition,09/06/2022,en,euronews
Watch: What has the Common Agricultural Policy brought to the EU?,https://static.euronews.com/articles/stories/06/71/03/94/400x225_cmsv2_3f37abd7-b802-5a97-bb82-61646715089d-6710394.jpg,https://www.euronews.com//video/2022/06/09/watch-what-has-the-common-agricultural-policy-brought-to-the-eu,09/06/2022,en,euronews
"'Russian soldiers drink vodka, we're making music': Ukrainian musician vents rage at war through rap",https://static.euronews.com/articles/stories/06/76/58/84/400x225_cmsv2_ae3fbb24-4439-5d01-8cf6-d625d122cf66-6765884.jpg,https://www.euronews.com//video/2022/06/09/russian-soldiers-drink-vodka-we-re-making-music-ukrainian-musician-vents-rage-at-war-throu,09/06/2022,en,euronews
"Europe at epicentre of the first global energy crisis, says IEA chief",https://static.euronews.com/articles/stories/06/76/56/02/400x225_cmsv2_cc2a12b6-88ce-5833-b8dc-a4cc696aaaf4-6765602.jpg,https://www.euronews.com//video/2022/06/09/europe-at-epicentre-of-the-first-global-energy-crisis-says-iea-chief,09/06/2022,en,euronews
